name,sku,price,stars,link,image_url,reviews,seller,category,description
"Nokia 3.2, 6.26-Inch, 2GB RAM + 16GB ROM, Android 9.0 (Pie), 13 MP + 5 MP, Dual Nano SIM, 4000 MAh - Blue",NO891MP14T1WWNAFAMZ,"32,330",3.7,https://www.jumia.com.ng/nokia-3.2-6.26-inch-2gb-ram-16gb-rom-android-9.0-pie-13-mp-5-mp-dual-nano-sim-4000-mah-blue-44104586.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/68/540144/1.jpg?1572,42,jumia,phones and tablets,"	6.26 inches IPS LCD capacitive touchscreen	2GB RAM + 16GB ROM	Android 9.0 (Pie); Android One	Non-removable Li-Ion 4000 mAh battery	rear camera：13 MP, f/2.2, 1/3"", 1.12µm, AF	front camera：5 MP, f/2.2, 27mm (wide), 1.12µm	CPU：Quad-core 1.8 GHz Cortex-A53	What’s in the box	Nokia 3.2	5V2A charger"
Ear Loop Disposable Surgical Face Mask - 50 Pieces,2985723,"13,500",5,https://www.konga.com/product/ear-loop-disposable-surgical-face-mask-50-pieces-2985723,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/E/a/Ear-Loop-Disposable-Surgical-Face-Mask---50-Pieces-8002587.jpg",4,konga,health and beauty,Surgeons Face Mask is used as a covering for the face that serves as a protective barrier.	High bacterial filtration efficiency Ultrasonically welded	Available in Tie bands and Elastic Strap for proper fixing.	Provided with a nose clip to prevent fogging of spectacles and to maximize filtration efficiency.	Blue Ear Loop Surgical Dental Dust Face Mask
 Men Suede Loafers Moccasins Casual Driving Shoes -Brown,FA203SH0IWBBLNAFAMZ,"1,750",4.0,https://www.jumia.com.ng/fashion-men-suede-loafers-moccasins-casual-driving-shoes-brown-35704713.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/31/740753/1.jpg?6098,94,jumia,fashion,	Material: Suede	Slip-On	Comfortable Soles	Light and allows free movement	Fit:Please follow the size table	What’s in the box	1 X SHOES
"Tecno Spark 4(kc8) Royal Purple,6.53inch 2gb+32gb,13mp Tripple Al Camera, 4000mah",4484123,"40,000",5,https://www.konga.com/product/tecno-spark-4-kc8-royal-purple-6-53inch-2gb-32gb-13mp-tripple-al-camera-4000mah-4484123,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/P/P/118566_1570023385.jpg",1,konga,phones and tablets,"The Tecno Spark 4Come with a 6. 52Inch+Dot notch Screen,13MP Tripple Al Camera, Al Bright Camera.   The Tecno Spark 4 Operating System is Android 9pie, GSM/WCMA/LTE,4000 Battery Capacity, with G.Sensor,Ambient sensor, Light Sensor, Fingerprint sensor,   The Tecno Spark 4 Processor is Quad-Core 2.0GHz, Memory capacity is 2GB RAM +32GB ROM is Extendable.          The Tecno Spark 4Come with a 6. 52Inch+Dot notch Screen,13MP Tripple Al Camera, Al Bright Camera.   The Tecno Spark 4 Operating System is Android 9pie, GSM/WCMA/LTE,4000 Battery Capacity, with G.Sensor,Ambient sensor, Light Sensor, Fingerprint sensor,   The Tecno Spark 4 Processor is Quad-Core 2.0GHz, Memory capacity is 2GB RAM +32GB ROM is Extendable."
"LLOYD 32"" Full HD TV - Black + Free Wall Bracket",BR614EA0BR1I2NAFAMZ,"30,720",4.0,https://www.jumia.com.ng/led-full-hd32-tv-black-free-barcket-three-years-warranty-lloyd-mpg1241950.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/19/737434/1.jpg?8235,235,jumia,electronics,"	Screen Size: 32 Inches	Resolution: HD 1366 * 768p	Ports: AV, VGA, HDMI, USB, Audio Jack	Aspect Ratio: 16:9	High Brightness: 400CD/M2	Contrast Ratio: 3000:1	Voltage: AC110-240V,50/60Hz	Low Standby Power	POWER OUT: 3W*2	What’s in the box	1 LLoyd 32inch TV2 Black Bracket3 USB Cable4 User Manual"
"HP Notebook 15-RB006NIA AMD A4 Dual Core - 4GB RAM, 500GB HDD - FreeDos",4310131,"88,500",5,https://www.konga.com/product/hp-notebook-15-rb006nia-amd-a4-dual-core-4gb-ram-500gb-hdd-freedos-4310131,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/G/N/_1575885285.jpg",4,konga,computing,"Power through your day with a stylish laptop created to keep you connected, and on top of everyday tasks. With reliable	performance and long lasting battery life —you can easily surf, stream and stay in touch with what matters most.	Operating system : FreeDOS 2.0	Processor : AMD Dual-Core E2-9000e (1.5 GHz base frequency, up to 2 GHz burst frequency, 1 MB cache)	Processor family : AMD Dual-Core E-Series processor	Memory : 4 GB DDR4-1866 SDRAM (1 x 4 GB) Transfer rates up to 1866 MT/s.	Storage : 500 GB 5400 rpm SATA DVD-Writer	Graphics : Integrated: AMD Radeon™ R2 Graphics;	Audio : Dual speakers	Display : 39.6 cm (15.6"") diagonal HD SVA anti-glare WLED-backlit (1366 x 768)	Power : 45 W AC power adapter;	Battery type : 3-cell, 31 Wh Li-ion;	User-replaceable battery: Supports battery fast charge: approximately 90% in 90 minutes	Target battery life : Up to 11 hours estimated battery time	Maximum battery life video playback Up to 7 hours and 30 minutes	Connectivity : Network interface Integrated 10/100/1000 GbE LAN	Wireless connectivity : 802.11b/g/n (1x1) Wi-Fi® and Bluetooth® 4.0 combo	Ports : 2 USB 3.1 Gen 1 (Data transfer only); 1 USB 2.0; 1 HDMI; 1 RJ-45; 1 headphone/microphone combo 1 multi-format SD media card reader	Webcam : HP Webcam with integrated digital microphone"
Hp 32GB Pendrive Flash Drive USB 2.0,HP246EL0PKVYMNAFAMZ,"1,940",4.3,https://www.jumia.com.ng/hp-32gb-pendrive-flash-drive-usb-2.0-24946924.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/42/964942/1.jpg?0556,1344,jumia,computing,"	Capacity: 28-30GB	USB connection, support Hot Plug & Play	No external power supply	Supports different types of OS	Solid State Storage, Shock proof and electromagnetic proof	Write protection switch	Durable data storage	Fast speed in write/read transfer	Hardware Requirement: PC with USB connection, Notebook, MAC	Life:>1 million times	What’s in the box	1 x flash drive"
Galanz 20l Microwave Oven- White,4488886,"15,980",5,https://www.konga.com/product/galanz-galanz-20l-microwave-oven-white-4488886,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/G/S/118566_1570457405.jpg",4,konga,home and office,"Colour	White	Warranty Period	1 Year	Brand	Power (Watts)	Under 1000 Watts	6 Microwave Power Levels	Speedy Defrost / Weight Defrost (meat, poultry, seafood)	Power output: 700W/230-240V~50Hz	White Painting Cavity. White housing"
LG 32 Inches TV + Wall Bracket + Power Surge & HDMI Cable,LG835EL19UF6SNAFAMZ,"41,900",4.4,https://www.jumia.com.ng/lg-32-inches-tv-wall-bracket-power-surge-hdmi-cable-48020077.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/77/002084/1.jpg?5967,22,jumia,electronics,			Display Type:    LED	Screen Size: 32	Antenna Input + DTV Free channels:   Yes	AV + Component: Yes	HDMI:  2	USB: 1	What’s in the box	Remote ControlManual
 Mens Flip Flops Casual Breathable Comfortable Slides-black,FA203SH1KBBWBNAFAMZ,"1,840",3.7,https://www.jumia.com.ng/fashion-mens-flip-flops-casual-breathable-comfortable-slides-black-13178549.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/94/587131/1.jpg?6814,249,jumia,fashion,"	Upper Material:Rubber	Upper-Genuine Leather Type:Rubber	Outsole Material:Rubber		Insole Material:Rubber		Lining Material:Canvas		Shoes Type:Basic		Feature:Waterproof,Breathable,Massage,Height	What’s in the box	1*shoes"
Veet Normal Hair Removal Cream - 100ml,VE188HB06ZAEONAFAMZ,770,4.7,https://www.jumia.com.ng/veet-normal-hair-removal-cream-100ml-44142711.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/11/724144/1.jpg?2707,27,jumia,health and beauty,	Hair removal cream for normal skin	With Lotus Milk and Jasmine Fragrance	Quick and easy	Gentle and effective	Includes spatula for spreading the cream and removing hair	Now in new improved pack and design	What’s in the box	100ml Veet Hair Removal Cream (Normal Skin)	Spatula
"XIAOMI Redmi Note 8 4GB+64GB 6.3"" 48MP Quad Camera Snapdragon 665 Octa Core Dual SIM 18WQC 4000mAh- Neptune Blue",MI189MT0VY1SUNAFAMZ,"69,990",4.6,https://www.jumia.com.ng/xiaomi-redmi-note-8-4gb64gb-6.3-48mp-quad-camera-snapdragon-665-octa-core-dual-sim-18wqc-4000mah-neptune-blue-43765635.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/656734/1.jpg?4495,140,jumia,phones and tablets,"	6.3'' water screen 2340x1080P FHD+ 19.5:9 Screen,1500:1(typ)	Snapdragon 665-Octa Core	48MP Quad Rear Cameras（48MP+8MP+2MP+2MP Quad Rear Camera, 13MP Front Camera  ）	4000mAh Big  Charger	18W Fast Chargin  g	Support Dual SIM Dual Standby	What’s in the box"
Samsung 40-Inch FHD LED TV N5000 - Black + 1 Year Official Warranty,SA948EL0K7462NAFAMZ,"78,990",4.4,https://www.jumia.com.ng/samsung-40-inch-fhd-led-tv-n5000-black-1-year-official-warranty-41342933.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/33/924314/1.jpg?0387,138,jumia,electronics,"	40-Inch LED TV	PurColor	1920 x 1080 Screen Resolution	Quad Core Processor	Virtual Surround DTS Studio Sound	2 HDMI, 1 USB	Wide color enhancer	Clean view	Slim Design	Connect share movie	What’s in the box	User ManualRemote controlPower CableBatteries (for Remote Control)"
"HP Notebook 15-RB006NIA AMD A4 Dual Core - 4GB RAM, 500GB HDD - FreeDos + 15.6-Inch BAG",4527646,"85,500",5,https://www.konga.com/product/hp-notebook-15-rb006nia-amd-a4-dual-core-4gb-ram-500gb-hdd-freedos-15-6-inch-bag-4527646,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/F/W/_1576485754.jpg",1,konga,computing,"Notebook 15 AMD A4 - 4GB RAM, 500GB HDD + FREE 15.6"" TOPLOAD BAG	Power through your day with a stylish laptop created to keep you connected, and on top of everyday tasks. With reliable	performance and long lasting battery life —you can easily surf, stream and stay in touch with what matters most.	Operating system : FreeDOS 2.0	Processor : AMD Dual-Core E2-9000e (1.5 GHz base frequency, up to 2 GHz burst frequency, 1 MB cache)	Processor family : AMD Dual-Core E-Series processor	Memory : 4 GB DDR4-1866 SDRAM (1 x 4 GB) Transfer rates up to 1866 MT/s.	Storage : 500 GB 5400 rpm SATA DVD-Writer	Graphics : Integrated: AMD Radeon™ R2 Graphics;	Audio : Dual speakers	Display : 39.6 cm (15.6"") diagonal HD SVA anti-glare WLED-backlit (1366 x 768)	Power : 45 W AC power adapter;	Battery type : 3-cell, 31 Wh Li-ion;	User-replaceable battery: Supports battery fast charge: approximately 90% in 90 minutes	Target battery life : Up to 11 hours estimated battery time	Maximum battery life video playback Up to 7 hours and 30 minutes	Connectivity : Network interface Integrated 10/100/1000 GbE LAN	Wireless connectivity : 802.11b/g/n (1x1) Wi-Fi® and Bluetooth® 4.0 combo	Ports : 2 USB 3.1 Gen 1 (Data transfer only); 1 USB 2.0; 1 HDMI; 1 RJ-45; 1 headphone/microphone combo 1 multi-format SD media card reader	Webcam : HP Webcam with integrated digital microphone"
Binatone Smoother Gliding Steam Iron SI-1605 - Blue.,BI681HLVZTYBNAFAMZ,"3,190",4.1,https://www.jumia.com.ng/binatone-smoother-gliding-steam-iron-si-1605-blue.-26679395.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/59/397662/1.jpg?0511,1569,jumia,home and office,	Need help placing an order?  Call 012772367	Non-stick sole plate	Continuous and Variable Steam for better crease removal	Water tank capacity -90ml	Water spray Power 1450-1750W	Heating light indication	Specifications	SKU: BI681HLVZTYBNAFAMZ	Color: White/blue	Model: SI-1605	Weight (kg): 1
