name,sku,price,stars,link,image_url,reviews,seller,category,description
Ear Loop Disposable Surgical Face Mask - 50 Pieces,2985723,"15,000",5,https://www.konga.com/product/ear-loop-disposable-surgical-face-mask-50-pieces-2985723,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/E/a/Ear-Loop-Disposable-Surgical-Face-Mask---50-Pieces-8002587.jpg",4,konga,health and beauty,Surgeons Face Mask is used as a covering for the face that serves as a protective barrier.	High bacterial filtration efficiency Ultrasonically welded	Available in Tie bands and Elastic Strap for proper fixing.	Provided with a nose clip to prevent fogging of spectacles and to maximize filtration efficiency.	Blue Ear Loop Surgical Dental Dust Face Mask
Lux Even Complexion125g X 6,LU423HB14LLXXNAFAMZ,910,4.4,https://www.jumia.com.ng/lux-even-complexion125g-x-6-35829186.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/68/192853/1.jpg?4084,85,jumia,health and beauty,	Specially created with moisturizing delicate flowers	Includes White Lily and Carrot oil for the best skin glow and moisturizing effect	Microbeads for Exfoliation and even tone	Lux Even complexion comes with a sweet fragrant that still leaves your skin soft	Indulge in a delightfully rich sensation with the LUX Even Complexion beauty bar	For a noticeable smoother skin	Pamper yourself with a luxurious bath	Specifications	SKU: LU423HB14LLXXNAFAMZ	Skin Type: All Skin Types	Color: Brown	Model: Even Complexion 125g	Production Country: Nigeria	Product Line: Unilever Nigeria Plc	Weight (kg): 0.125
Samsung 32“ N5000 Series 5 Flat Full HD TV,SA948EL08AG2INAFAMZ,"57,750",5.0,https://www.jumia.com.ng/samsung-32-n5000-series-5-flat-full-hd-tv-41342931.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/13/924314/1.jpg?6482,8,jumia,electronics,	32	FHD LED TV	Clean View	Slim Design	2 HDMI	Connect Share Movie	AV	Wide Colour Enhancer	HD picture quality	Specifications	SKU: SA948EL08AG2INAFAMZ	Display Features: Full HD	Display Size (inches): 32.0	Color: Black	Model: UA32N5000AKXKE	Product Line: Sims Nigeria Limited	Size (L x W x H cm): 737.4 x 465.4 x 150.5 mm	Weight (kg): 5.6
"HP Notebook 15-RB006NIA AMD A4 Dual Core - 4GB RAM, 500GB HDD - FreeDos",4310131,"88,500",5,https://www.konga.com/product/hp-notebook-15-rb006nia-amd-a4-dual-core-4gb-ram-500gb-hdd-freedos-4310131,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/G/N/_1575885285.jpg",4,konga,computing,"Power through your day with a stylish laptop created to keep you connected, and on top of everyday tasks. With reliable	performance and long lasting battery life —you can easily surf, stream and stay in touch with what matters most.	Operating system : FreeDOS 2.0	Processor : AMD Dual-Core E2-9000e (1.5 GHz base frequency, up to 2 GHz burst frequency, 1 MB cache)	Processor family : AMD Dual-Core E-Series processor	Memory : 4 GB DDR4-1866 SDRAM (1 x 4 GB) Transfer rates up to 1866 MT/s.	Storage : 500 GB 5400 rpm SATA DVD-Writer	Graphics : Integrated: AMD Radeon™ R2 Graphics;	Audio : Dual speakers	Display : 39.6 cm (15.6"") diagonal HD SVA anti-glare WLED-backlit (1366 x 768)	Power : 45 W AC power adapter;	Battery type : 3-cell, 31 Wh Li-ion;	User-replaceable battery: Supports battery fast charge: approximately 90% in 90 minutes	Target battery life : Up to 11 hours estimated battery time	Maximum battery life video playback Up to 7 hours and 30 minutes	Connectivity : Network interface Integrated 10/100/1000 GbE LAN	Wireless connectivity : 802.11b/g/n (1x1) Wi-Fi® and Bluetooth® 4.0 combo	Ports : 2 USB 3.1 Gen 1 (Data transfer only); 1 USB 2.0; 1 HDMI; 1 RJ-45; 1 headphone/microphone combo 1 multi-format SD media card reader	Webcam : HP Webcam with integrated digital microphone"
"GZ Electronics YoungWind Soundcup S Bluetooth Speaker With Touch Control,NFC & 360 Surround Bass",AP776EL08T0LZNAFAMZ,"6,890",4.5,https://www.jumia.com.ng/gz-electronics-youngwind-soundcup-s-bluetooth-speaker-with-touch-controlnfc-360-surround-bass-34709741.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/14/790743/1.jpg?0626,26,jumia,phones and tablets,	Official brand : GZ electronics	Bluetooth 4.0 : 10M transmission distance	NFC- Easy connection with NFC for Android mobile phones	360 degree surround sound- Super bass effect	ON/OFF button special design	Non Stop Beautiful music	Specifications	SKU: AP776EL08T0LZNAFAMZ	Color: Black	Main Material: Fabric	Model: GZ101 Soundcup	Product Line: Tedbox	Weight (kg): 0.5
Mtn 4G Wi-Fi: 4G LTE Pocket Size Mobile Internet Hotspot Router - White,MT393MP0AVA6MNAFAMZ,"11,500",4.3,https://www.jumia.com.ng/mtn-4g-wi-fi-4g-lte-pocket-size-mobile-internet-hotspot-router-white-49655281.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/18/255694/1.jpg?4566,7,jumia,computing,"	4G LTE	·       3G UMTS	·       2G GSM	·       Wi-Fi: 802.11b/g/n, 2.4GHz	·       2000mAh Li-Ion Battery	·       NetWork LTE TDD Band40 FDD Band5/Band26	·       Data Rate FDD: DL/UL 150Mbps/50Mbps ; TDD: DL/UL 110Mbps/11Mbps	Specifications	SKU: MT393MP0AVA6MNAFAMZ	Color: White	Model: ZTE MF927U	Product Line: MTN	Weight (kg): 0.3"
Chrysolite Designs Korean Single Snap Love Hand Polo & Cap Bundle - White,CH870AA0KXGYGNAFAMZ,"3,240",4.1,https://www.jumia.com.ng/chrysolite-designs-korean-single-snap-love-hand-polo-cap-bundle-white-44935153.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/35/153944/1.jpg?8588,122,jumia,fashion,	Perfect Fit	Accurate Measurement	Neat sewing	Luxury Styled	Short Sleeve	Cotton Material	White Cap	What’s in the box	Korean Single Snap Love Hand Polo & Cap Bundle  - White
UKA Electric Kettle - 1.8 Litres- LB-KA1901 - Silver & Black,UK328HL118V11NAFAMZ,"2,249",4.3,https://www.jumia.com.ng/uka-electric-kettle-1.8-litres-lb-ka1901-silver-black-35295526.html,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/62/559253/1.jpg?9779,537,jumia,home and office,"	Capacity:1.8 L	Power:220-240V,1800W	Boil dry protection	ON/off switch and indicator light	Remove & washable filter	Automatically turns of when water boiled	What’s in the box	Instruction manual	Bottom mark	Color box"
"Tecno Spark 4(kc8) Royal Purple,6.53inch 2gb+32gb,13mp Tripple Al Camera, 4000mah",4484123,"39,000",5,https://www.konga.com/product/tecno-spark-4-kc8-royal-purple-6-53inch-2gb-32gb-13mp-tripple-al-camera-4000mah-4484123,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/P/P/118566_1570023385.jpg",1,konga,phones and tablets,"The Tecno Spark 4Come with a 6. 52Inch+Dot notch Screen,13MP Tripple Al Camera, Al Bright Camera.   The Tecno Spark 4 Operating System is Android 9pie, GSM/WCMA/LTE,4000 Battery Capacity, with G.Sensor,Ambient sensor, Light Sensor, Fingerprint sensor,   The Tecno Spark 4 Processor is Quad-Core 2.0GHz, Memory capacity is 2GB RAM +32GB ROM is Extendable.          The Tecno Spark 4Come with a 6. 52Inch+Dot notch Screen,13MP Tripple Al Camera, Al Bright Camera.   The Tecno Spark 4 Operating System is Android 9pie, GSM/WCMA/LTE,4000 Battery Capacity, with G.Sensor,Ambient sensor, Light Sensor, Fingerprint sensor,   The Tecno Spark 4 Processor is Quad-Core 2.0GHz, Memory capacity is 2GB RAM +32GB ROM is Extendable."
Nude Dildo Vibrator,3915925,"3,300",5,https://www.konga.com/product/nude-dildo-vibrator-3915925,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/T/J/106354_1523632463.jpg",1,konga,health and beauty,"It's time to make a sex toy confession: Do you ever feel bored with your dildo? If you answered yes, you're not alone. Standard dildos can't compare to the experience of letting loose and riding your partner during sex.	Healthy Vibes introduces our Realistic Dildo, complete with a suction cup base! Thanks to its super-strength grip, you can stick it to virtually any smooth surface for hands free fun.	From the bathroom walls to the kitchen floor, you can explore new positions while riding as rough as you like. It even has a curved tip that hits your G-spot for extraordinary orgasms.	With an insertable length of 19cm"" and a width of 1.75,"" this dildo is the perfect size for anal action or sex toy beginners. The realistic shape and size add a level of intimacy, while the	vein texture offers unique stimulation that will have you biting your lip! If you're really feeling naughty, it's 100% waterproof so you can sneak it into the shower or hot tub.	Premium PVC provides a firm, flexible texture that twists and bends to your liking! Strong and durable, it's hypoallergenic and free of latex and phthalate for a toy that's completely body safe. After each use, just clean with warm, soapy water or sex toy cleaner."
